"MetadataTypeNamespacePrefix","MetadataTypeName","MetadataQualfiedType","AppliesToTypeNamespacePrefix","AppliesToTypeName","AppliesToQualifiedType"
"cbrn","TotalDoseMetadataType","cbrn:TotalDoseMetadataType","structures","ObjectType","structures:ObjectType"
"cbrn","TotalExposureMetadataType","cbrn:TotalExposureMetadataType","structures","ObjectType","structures:ObjectType"
"j","MetadataType","j:MetadataType","structures","AssociationType","structures:AssociationType"
"j","MetadataType","j:MetadataType","structures","ObjectType","structures:ObjectType"
"nc","MetadataType","nc:MetadataType","structures","AssociationType","structures:AssociationType"
"nc","MetadataType","nc:MetadataType","structures","ObjectType","structures:ObjectType"
"scr","PersonMetadataType","scr:PersonMetadataType","nc","PersonType","nc:PersonType"
